Veit Anders
Mina Kiefer
Burkhard Geyer
Hans D. Ernst
Meinolf Runge
Hanni Fuhrmann
Andree Decker
Gesine Vogel
Jana Hermann
Cornelius Gebhardt
Willibald Schütte
Doreen Lang
Henryk Herbst
Oliver Bode
Falk Altmann
Hermine Krüger
Hildegard Bartels
Wilfried Sander
Ingo Heine
Alice Fuchs
Hans-Jochen Reimann
Natalie Freund
Franco Glaser
Horst Braun
Franco Winkler
Jose Schmidt
Anton Seidl
Traudel Kuhn
Luzie Huber
Rita Reich
Michel Bender
Marcel Feldmann
Hartwig Will
Helma Gärtner
Ulf Eichhorn
Detlef Kurz
Jutta Ludwig
Annemarie Weiß
Emanuel Kluge
Conny Harms
Wilhelm König
Swen Krebs
Luigi Jahn
Eckhard Wolff
Ria Geisler
Luise Sonntag
Dierk Bender
Hans-Jochen Engelhardt
Gerd Bender
Isolde Unger
Gertraude Zimmer
Hedi Heß
Wiebke Marx
Tatjana Siebert
Natascha Wolff
Ernestine Schüler
Magnus Knoll
Rafael Wegener
Robin Steffen
Maximilian Wegner
Kornelia Stark
Aloisia Völker
Ismail Barthel
Herbert Rupp
Elvira Lorenz
Lina Holz
Johanna Fritz
Reimund Kuhn
Luise Günther
Veronika Niemann
Corinna Jordan
Ingolf Ulrich
Robert Schwarz
Michael Hinz
Alexander Bertram
Beate Klein
Sieglinde Schade
Gernot Friedrich
Miroslav Zeller
Anatoli Henning
Sandro Heinrich
Monique Kruse
André Stadler
Friedrich-Wilhelm Hanke
Ludwig Otto
Swen Riedel
Peggy Römer
Monica Henning
Danny Kremer
Julia Hummel
Claudio Peters
Kati Engel
Salvatore Heinrich
Armin Kluge
Pauline Fuhrmann
Andrej Großmann
Bernd Ehlers
Carlos Wiegand
Bernard Kirchner
Dorothea Weis
Maren Krüger
Clemens Hofmann
Reinhold Riedl
Tobias Albrecht
Annerose Strobel
Heinz-Georg Hübner
Jutta Jacobs
Sören Wunderlich
Birgitt Burkhardt
Johannes Janssen
Sybille Hecht
Heinz-Georg Reinhardt
Josef Schulze
Roman Heck
Luzie Ott
Lidia Schrader
Oliver John
Alexandra Schade
Rudolf Rudolph
Hannes Hentschel
